Prompt,Question
"Give me a physics question using the following variables and words.

 In a cave, person, ball, rock, cave length = 1581 m. final velocity = 93 m/s, time = 33 s, displacement = 26 m, acceleration = unknown, initial velocity = unknown.","
A person throws a ball from one end of a 1581 m long cave to the other, with a displacement of 26 m. If the ball reaches a final velocity of 93 m/s in 33 seconds, what was the acceleration and initial velocity of the ball?"
"Give me a physics question using the following variables and words.

 In a cave, person, ball, rock, cave length = 1581 m. final velocity = 93 m/s, time = 33 s, displacement = 26 m, acceleration = unknown, initial velocity = unknown.","
A person throws a ball from one end of a 1581 m long cave to the other, with a displacement of 26 m. If the ball reaches a final velocity of 93 m/s in 33 seconds, what was the acceleration and initial velocity of the ball?"
"Give me a physics question using the following variables and words.

 In a train, on a bridge, person, ball, train velocity = 71 m/s at an angle 119 degrees with the horizontal. force = 10 N, mass = 62 kg, displacement = 49 m, initial velocity = 83 m/s, acceleration = unknown, time = unknown.","
If a person standing on a train traveling at a velocity of 71 m/s at an angle of 119 degrees with the horizontal throws a ball with a force of 10 N, what is the acceleration of the ball as it travels a displacement of 49 m on a bridge? Assume the person has a mass of 62 kg and the ball has an initial velocity of 83 m/s. How much time does it take for the ball to reach the end of the bridge?"
"Give me a physics question using the following variables and words.

 In a cave, person, ball, rock, cave height = 613 m. force = 65 N, acceleration = 77 ms^-2, mass = unknown.","
What is the mass of a person who throws a ball with a force of 65 N, causing it to accelerate at a rate of 77 ms^-2, in a cave with a height of 613 m where a rock is dropped from the top?"
"Give me a physics question using the following variables and words.

 In a train, on a bridge, person, ball, train acceleration = 87 ms^-2. displacement = 60 m at an angle 132 degrees with the horizontal, initial velocity = 17 m/s at an angle 135 degrees with the horizontal, final velocity = 8 m/s at an angle 92 degrees with the horizontal, force = 42 N at an angle 78 degrees with the horizontal, time = unknown, horizontal component of acceleration = unknown, vertical component of acceleration = unknown, mass = unknown.","A thief standing on a truck traveling at an initial velocity of 17 m/s at an angle 135 degrees with the horizontal throws a gold coin with a force of 42 N at an angle 78 degrees with the horizontal while the truck is on a bridge. If the gold coin experiences a displacement of 60 m at an angle 132 degrees with the horizontal and the train has an acceleration of 87 ms^-2, what is the mass of the gold coin and the time it takes for the gold coin to reach a final velocity of 8 m/s at an angle 92 degrees with the horizontal?"
"Give me a physics question using the following variables and words.

 In a train, on a bridge, person, ball, train velocity = 49 m/s, train length = 651 m. final velocity = 24 m/s at an angle 29 degrees with the horizontal, initial velocity = 11 m/s at an angle 55 degrees with the horizontal, time = 76 s, mass = 87 kg, horizontal component of acceleration = unknown, vertical component of acceleration = unknown, horizontal component of force = unknown, vertical component of force = unknown.","
A person standing on a train traveling at a velocity of 49 m/s across a 651 m long bridge throws a ball with a mass of 87 kg. If the ball has an initial velocity of 11 m/s at an angle of 55 degrees with the horizontal and lands with a final velocity of 24 m/s at an angle of 29 degrees with the horizontal, what are the unknown horizontal and vertical components of acceleration and force acting on the ball during its 76 second flight?"
"Give me a physics question using the following variables and words.

 In a cave, person, ball, rock, cave length = 1271 m. displacement = 47 m, time = 62 s, final velocity = 53 m/s, force = 80 N, initial velocity = unknown, acceleration = unknown, mass = unknown.
","
If a person standing at one end of a cave throws a ball with a force of 80 N towards a rock on the other end of the cave, with a displacement of 47 m and a time of 62 s, what is the initial velocity of the ball and what is the mass of the rock if the cave length is 1271 m and the final velocity of the ball upon impact is 53 m/s? Assume the ball and rock have the same acceleration."
"Give me a physics question using the following variable and words . In a cave , person , ball , rock , cave height = 621 m . force = 55 N at an angle 78 degrees with the horizontal, acceleration = 81 ms^-2 at an angle 35 degrees with the horizontal, mass = unknown.","
A person is standing at the entrance of a cave with a height of 621 m. They throw a ball with a force of 55 N at an angle of 78 degrees with the horizontal, causing it to travel inside the cave. The ball hits a rock with an acceleration of 81 ms^-2 at an angle of 35 degrees with the horizontal. If the mass of the ball is unknown, what is the magnitude of the force exerted on the rock by the ball upon impact?"
"Give me a physics question using the following variables and words.

 In a train, on a bridge, person, ball, train length = 549 m. final velocity = 73 m/s, initial velocity = 76 m/s, acceleration = 69 ms^-2, time = unknown.","
A person standing on a train traveling at a constant velocity of 76 m/s throws a ball with an initial velocity of 4 m/s towards the front of the train. The ball travels for a distance of 549 m before reaching the end of the train. Assuming the train is on a bridge and there is no air resistance, what is the time it takes for the ball to reach the end of the train?"
"Give me a physics question using the following variable and words . In a train , on a bridge , person , ball , train acceleration = 80 ms^-2 at an angle 73 degree with the horizontal , train length = 441 m . final velocity = 5 m/s at an angle 82 degrees with the horizontal, time = 30 s, displacement = 5 m at an angle 134 degrees with the horizontal, horizontal component of initial velocity = unknown, vertical component of initial velocity = unknown, horizontal component of acceleration = unknown, vertical component of acceleration = unknown.","A person on a locomotive is standing on a bridge and throws a ball with a horizontal component of initial velocity and a vertical component of initial velocity. The locomotive is accelerating at 80 ms^-2 at an angle of 73 degrees with the horizontal and has a length of 441 m. The ball lands on the bridge with a final velocity of 5 m/s at an angle of 82 degrees with the horizontal after a time of 30 seconds. If the displacement of the ball is 5 m at an angle of 134 degrees with the horizontal, what are the horizontal and vertical components of the initial velocity of the ball, as well as the horizontal and vertical components of the acceleration of the locomotive?"
